fips,# hot spots/1000 people,% African Americans,% Hispanic Americans,% Male,% change in consumption,% out-of-county trips,% out-of-state trips,% people older than 60,% staying home,Employment density,Imported COVID cases,Median income,Miles/person,Non-work trips/person,Population,Population density,Social distancing index,Transit mode share,Trips/person,Work trips/person,Cases,Treatment
51001,130,29.2,9,48.44,-2.7,24.4,13.6,30,21,16,22,43210,33.6,2.75,32412,25,31,0.89,3.39,0.64,633,2
51003,149,9.7,5.8,47.82,-21.3,48.5,0.3,24,35,67,77,75394,22.2,2.16,108718,146,56,2.33,2.65,0.49,80,2
51005,90,5.4,1.4,49.2,-7,47.3,8.4,31,25,21,11,47794,26.2,2.6,14910,34,35,0.81,3.22,0.62,2,1
51007,116,21.3,3,51.75,7.7,36.3,0.5,25,18,6,8,58526,52.7,3.19,13013,36,25,1.04,3.84,0.65,8,1
51009,92,17.8,2.4,48.17,0.2,42.1,0.5,27,19,16,24,49170,30.2,2.89,31666,67,25,0.58,3.75,0.86,13,1
51011,92,19.8,1.5,48.55,-6.9,38.2,0.2,27,18,8,12,56176,46.9,2.95,15841,47,24,0.63,3.8,0.85,16,0
51013,134,8.6,15.6,49.96,-31.8,52.1,21.8,15,55,5466,249,117374,8.7,1.67,237521,8929,77,26.48,1.97,0.3,1114,3
51015,107,4.1,2.6,50.73,-4.8,43.8,3.3,27,18,26,62,61305,36.8,2.89,75457,77,28,0.32,3.65,0.76,56,2
51017,157,1.8,3.8,52.58,-17.1,41,6.4,28,26,3,2,46137,33.8,2.37,4292,8,32,1.78,2.8,0.43,0,3
51019,111,6.8,2.1,49.17,-8.9,37.7,0.4,29,21,17,49,61541,29.8,2.89,78747,101,34,0.13,3.53,0.64,24,1
51021,92,1.8,0.7,54.94,-1.9,54.8,30.5,29,18,9,6,50511,30.8,2.74,6293,18,22,0.55,3.18,0.44,0,1
51023,116,3,1.6,49.33,-8,47.1,3.9,29,23,17,28,68410,45.2,2.64,33277,61,28,0.01,3.34,0.7,9,3
51025,87,54.4,2.2,53.36,3.5,41.5,10.5,27,12,6,11,41927,51.9,3.41,16384,29,20,0.16,3.81,0.4,12,2
51027,69,2.9,0.4,50.39,6.4,23.9,9.8,28,20,16,5,30806,26,2.73,21221,44,29,0.48,3.11,0.38,4,1
51029,76,33.9,2.4,55.41,-11.4,39.3,0.8,25,15,5,10,46261,53.2,2.93,16999,29,26,0.99,3.47,0.54,344,1
51031,102,14.3,2.4,48.46,-4.6,48.3,0.7,26,20,32,48,50258,30.5,2.89,54973,109,29,0.11,3.58,0.69,4,2
51033,89,27.5,4.6,50.15,0.1,46.9,10.1,22,20,7,38,64715,49.1,3.35,30772,56,31,0.47,3.81,0.47,34,2
51035,99,0.4,3.3,50.32,4.3,40.5,17.3,31,16,13,19,43532,43.1,3.01,29636,62,18,0.03,3.75,0.74,39,1
51036,101,46.5,1.8,49.19,-3.2,46,0.2,32,15,7,8,59192,36.2,3.75,6941,34,27,1.96,4.47,0.71,13,1
51037,95,29,2,49.45,14.6,34.1,1.1,30,14,5,9,39212,42.9,3.91,11938,25,16,0.29,4.57,0.66,8,1
51041,120,22.5,8.5,48.18,-19.4,38.8,0.9,20,32,283,180,80214,24.9,2.24,348556,777,51,0.47,2.75,0.51,692,1
51043,145,4.8,5.2,51.05,-9,47.1,9.1,27,23,21,12,77936,34.6,2.61,14523,81,39,0.41,3.23,0.61,11,1
51045,90,0.1,0,48.91,9.2,33.3,1.8,31,17,4,3,55484,37.2,3.18,5064,15,17,0,3.82,0.64,2,2
51047,125,13.2,10.3,50.05,-16.1,38.9,1.5,21,23,39,30,73116,42.4,2.33,51859,132,36,1.22,2.89,0.56,318,2
51049,100,32,0.3,49.36,-6.3,49,0.1,27,11,5,9,46221,43.5,3.03,9809,33,15,0.23,3.67,0.64,12,1
51051,75,0.7,0.9,50.7,-17.1,32,2.9,28,22,11,5,29226,21.9,2.23,14523,45,34,0.21,2.66,0.43,0,2
51053,72,32,3.4,49.49,-6.1,47.4,4.1,23,17,14,30,55880,39,3.18,28529,56,27,0.5,3.85,0.67,29,0
51057,135,38.8,3.5,44.96,-5.8,43.1,1.4,28,15,17,10,52681,45.1,3.01,10919,39,23,0,3.93,0.92,30,1
51059,135,9.4,16.2,49.55,-31.5,35.1,9.4,18,46,1569,586,121133,14.5,1.79,1150795,2812,70,9.75,2.14,0.35,5861,3
51061,139,7.3,8,49.6,-10.6,39.7,2.4,23,24,29,47,97469,29.7,2.62,70675,106,42,1.13,3.18,0.56,176,1
51063,131,1.8,3,49.94,-13.8,34.9,1.2,31,18,8,7,49729,40.2,2.43,15795,41,34,0.63,3.05,0.62,3,2
51065,98,13.4,3.3,45.68,-2.7,42.2,0.1,27,21,14,18,74931,32.7,2.91,26783,91,33,0.17,3.33,0.42,18,1
51067,113,7.8,2.8,48.96,-8.2,30.9,1.3,31,20,19,26,52639,31.6,2.73,56195,79,30,0.62,3.35,0.62,15,3
51069,98,4,8.2,49.8,-4.9,47.6,17.7,22,24,50,75,73250,33.4,2.67,88355,205,35,0.3,3.3,0.63,123,1
51071,112,2.2,1.7,49.08,9.1,34.2,15,28,24,14,8,52478,30.2,3.32,16844,47,36,0.05,3.7,0.38,4,2
51073,122,8.1,3.5,49.32,-12.1,34,0.3,26,23,36,19,66701,29.5,2.57,37349,129,39,0.45,3.17,0.6,9,3
51075,132,15.9,2.7,49.5,-18.5,53.4,0.3,29,25,44,23,89741,32.3,2.73,23244,78,45,0.43,3.23,0.5,46,1
51077,88,4.5,3.3,50.57,-4.9,42.1,11.8,31,15,6,9,33969,44.7,2.97,15631,35,19,0.4,3.41,0.45,19,0
51079,110,5.6,5.9,48.69,-16.8,47,0.3,23,20,16,14,64979,26.6,2.39,19779,124,38,1.31,3.04,0.65,12,2
51081,57,59.3,2.3,62.92,-17.6,57.2,19.4,21,16,11,12,44534,42.4,2.67,11627,39,31,1.5,3.37,0.7,34,1
51083,118,34.6,2,47.84,2.8,20.2,6.1,30,19,15,12,42289,39,3.36,34120,42,21,0.52,4.21,0.85,21,0
51085,147,9,2.9,49.04,-15.5,48.8,2.6,24,28,95,98,88652,29.2,2.51,107239,220,46,0.32,3.11,0.6,155,2
51087,136,29.4,5.5,47.37,-18.4,42.3,0.9,21,32,743,208,68572,23.6,2.26,329261,1331,50,1.13,2.83,0.58,745,1
51089,92,21.8,5.3,48.2,1.9,38.8,8.9,31,20,39,29,36683,36.2,2.81,50953,134,23,0.51,3.51,0.7,22,1
51091,190,0,0,47.11,-31.6,29.3,11.3,49,29,1,1,46147,15.7,1.81,2210,5,47,0,2.02,0.21,2,1
51093,104,21.8,3,48.78,-16.7,44.9,0.7,26,24,39,26,71376,28.9,2.56,36953,100,39,0.17,3.14,0.59,55,3
51095,121,12.8,5.6,48.39,-18.3,43.4,0.4,31,33,149,46,83048,22.4,2.24,76397,413,53,0.74,2.75,0.51,49,1
51097,79,25.3,3.2,50.17,-1,46.7,0.5,31,17,3,7,54516,54.9,3.44,7042,22,24,0,4.16,0.72,5,2
51099,96,16.3,5,50.2,-22.5,42.8,12.6,18,29,35,20,87321,30.2,2.31,26575,138,52,1.7,2.77,0.46,28,0
51101,104,16.4,1.6,49.18,-0.1,42.1,0.5,22,18,16,15,68720,44.6,3.5,16939,58,28,0.24,4.26,0.76,11,1
51103,207,30.7,0.4,47.28,-1.8,36.6,0,45,14,21,8,50739,30.9,3.18,10783,47,18,0.28,3.97,0.79,6,2
51105,61,4.1,1.9,52.24,2.3,26.4,12.4,26,13,12,10,32718,40.2,3.45,23541,55,12,0.19,4.16,0.7,4,1
51107,125,7.2,13.5,49.52,-31.4,34.8,8.6,13,40,257,184,136268,17.8,1.88,406850,739,66,3.8,2.23,0.35,1007,3
51109,96,14.7,2.8,49.11,-8.8,45.7,0.8,27,19,18,32,59343,37,2.98,36778,69,31,0.79,3.59,0.62,30,1
51111,88,30.7,4.5,50.99,-10.4,40.7,1.6,29,18,5,7,41868,36.3,2.63,12086,28,31,0.71,3.24,0.61,4,2
51113,131,6.9,2.7,48.33,-8.2,42.7,1.8,28,17,10,10,54197,54.1,2.85,13295,41,24,0.9,3.68,0.82,15,0
51115,106,10.3,0.9,48.79,-7.5,32.7,0,40,23,7,4,67009,25.6,2.6,8802,35,34,0.57,3.36,0.76,2,1
51117,143,35.6,2.9,48.33,-0.9,36.6,14.6,33,20,17,20,42025,41.8,3.16,30650,45,29,0.21,3.81,0.65,95,0
51119,150,15.4,0.7,48.43,-1.6,43,0.6,40,27,19,8,51917,26.6,3.05,10769,51,41,0.38,3.37,0.33,9,1
51121,111,4.4,3.2,51.78,-21.6,29.4,2.4,17,33,95,38,54641,21.4,2.27,98985,252,51,4.77,2.84,0.57,32,2
51125,145,12.7,4.1,48.6,-0.7,40.7,0.9,36,20,8,10,62446,47.8,2.87,14836,31,27,0.19,3.48,0.61,7,2
51127,105,11.3,3.2,50.24,-12.3,54,1.8,24,27,17,23,79698,38.3,2.47,22391,94,42,0.02,3.1,0.63,12,0
51131,167,33.5,8.7,47.66,-9.6,34.4,3.9,34,18,10,9,43553,34.1,2.99,11735,15,25,1.28,3.65,0.66,189,1
51133,136,27.3,0.7,48.82,-3.4,36.3,3.1,46,22,14,9,58677,26.9,3.06,12147,43,37,0.41,3.75,0.7,11,2
51135,112,40,4.2,54.21,-3.4,41.8,0.7,25,14,16,12,42869,44.7,3.08,15420,49,19,0.23,3.81,0.73,11,0
51137,111,12.4,4.8,48.91,-10.7,40.1,0.8,27,22,22,23,68481,39.7,2.65,36644,104,36,1,3.21,0.56,34,2
51139,125,1.5,2,49.16,-12.5,25.9,0.6,27,21,17,9,47951,31,2.66,23933,76,36,0.14,3.42,0.76,139,3
51141,110,5.7,3,49.81,-8.2,34.3,15.5,33,19,11,8,40486,41.8,2.51,17673,37,28,0,3.12,0.61,6,1
51143,79,20,2.6,49.03,-7.2,39.3,5,29,17,12,36,45382,37.3,2.78,60949,63,28,0.16,3.5,0.72,14,1
51145,115,10.8,2.1,53.37,-14.2,41.7,0.3,24,23,18,18,83914,35,2.52,29189,109,39,0,3.13,0.61,19,0
51147,114,31.9,3.8,50.07,6.9,34.5,0.2,22,19,25,14,46189,37.2,3.06,22950,65,27,0.49,3.81,0.75,57,0
51149,81,30.6,7.9,54.39,-5,52.2,2.5,19,23,33,43,67001,29.3,3.02,38082,134,39,0.39,3.61,0.59,23,2
51153,99,20.1,23,49.91,-26.1,38,4.9,14,36,722,259,103445,20.6,2.06,468011,1311,59,4.97,2.47,0.41,2885,0
51155,100,4.6,1.7,50.06,-2.1,43.2,3.4,29,21,36,28,52638,30.7,2.61,34066,104,29,0.32,3.39,0.78,7,3
51157,178,4.8,3.6,49.51,12.6,41.4,1.1,34,17,7,4,68438,44.6,3.14,7252,27,30,0.42,3.29,0.15,11,0
51159,115,27.5,6.8,55.51,3.2,44.3,0.4,28,14,17,8,49831,33.6,3.44,9038,41,20,0.95,4.22,0.78,200,3
51161,120,5.7,2.9,47.93,-15.7,59.1,1.7,28,28,145,96,65467,23.9,2.24,94073,373,42,0.44,2.89,0.64,66,2
51163,115,3.2,1.8,49.69,-9.9,52.7,13.9,33,18,11,26,54805,37.5,2.65,22752,37,31,0.28,3.36,0.71,8,3
51165,97,2.1,6.8,48.98,-5.8,42.7,2.5,25,21,30,62,59817,32.8,2.69,81244,93,31,0.14,3.46,0.77,321,3
51167,80,1.3,0.7,48.79,2.3,30.1,2.5,29,24,16,13,39482,29,3.25,26748,57,31,0,3.83,0.58,4,0
51169,91,0.7,1.3,50.38,2.2,41.9,29.8,31,17,10,15,39144,36.3,2.91,21534,41,19,0,3.44,0.54,4,0
51171,124,1.9,7,48.89,-6,34.3,7.4,28,19,27,30,54921,38.4,2.53,43497,84,30,0.28,3.41,0.88,258,3
51173,109,2.3,2,49.26,-4.8,27.9,5.4,29,22,33,12,40425,39.2,2.54,30472,69,28,0.62,3.28,0.74,4,3
51175,82,32.8,1.5,52.09,-3.8,45,5.7,27,16,6,15,54611,47.9,3.09,17586,30,24,0.48,3.82,0.73,129,0
51177,108,15.6,9.4,49.14,-13.7,41.4,3,19,28,80,87,85330,31.5,2.5,134238,319,46,2.68,2.97,0.48,231,3
